date,open,high,low,close,volume,amount,code
2023-08-30,10.35310596,10.35310596,10.21894044,10.26366228,325421081,1492263143.29,601398
2023-08-31,10.24130136,10.37546688,10.19657952,10.33074504,289427934,1328761083.94,601398
2023-09-01,10.26366228,10.30838412,10.1742186,10.21894044,296828399,1357727426.22,601398
2023-09-04,10.24130136,10.30838412,10.19657952,10.2860232,251176029,1153387624.73,601398
2023-09-05,10.26366228,10.2860232,10.24130136,10.26366228,166532913,764627604.16,601398
2023-09-06,10.24130136,10.33074504,10.24130136,10.30838412,156562216,721190245.62,601398
2023-09-07,10.30838412,10.37546688,10.2860232,10.33074504,211028480,975710529.84,601398
2023-09-08,10.33074504,10.33074504,10.24130136,10.26366228,122821874,563775965.3,601398
2023-09-11,10.26366228,10.30838412,10.24130136,10.26366228,173410368,796563541.17,601398
2023-09-12,10.26366228,10.2860232,10.24130136,10.2860232,126071489,578873994.05,601398
2023-09-13,10.2860232,10.35310596,10.26366228,10.33074504,206287857,951230236.19,601398
2023-09-14,10.35310596,10.46491056,10.33074504,10.46491056,351170670,1638629281.33,601398
2023-09-15,10.46491056,10.5096324,10.35310596,10.35310596,239732357,1116627266.8,601398
2023-09-18,10.37546688,10.3978278,10.30838412,10.37546688,166125786,768769281.24,601398
2023-09-19,10.37546688,10.46491056,10.35310596,10.46491056,206613320,963619723.38,601398
2023-09-20,10.44254964,10.53199332,10.42018872,10.48727148,284415941,1334624083.63,601398
2023-09-21,10.48727148,10.59907608,10.46491056,10.48727148,298161943,1401644983.97,601398
2023-09-22,10.48727148,10.59907608,10.44254964,10.59907608,309988640,1460209786.79,601398
2023-09-25,10.59907608,10.64379792,10.55435424,10.57671516,237222711,1124713307.22,601398
2023-09-26,10.59907608,10.621437,10.46491056,10.5096324,214847545,1011746716.99,601398
2023-09-27,10.5096324,10.53199332,10.3978278,10.3978278,225802862,1054101376.82,601398
2023-09-28,10.44254964,10.5096324,10.42018872,10.46491056,156971696,734762892.01,601398
2023-10-09,10.3978278,10.5096324,10.35310596,10.44254964,214806559,1002756576.13,601398
2023-10-10,10.48727148,10.55435424,10.44254964,10.46491056,186035624,873180320.3,601398
2023-10-11,10.48727148,10.57671516,10.48727148,10.55435424,269205011,1269006830.58,601398
2023-10-12,10.7332416,10.8450462,10.68851976,10.82268528,567765757,2734640604.72,601398
2023-10-13,10.75560252,11.04629448,10.7332416,10.93448988,428227331,2094706163.71,601398
2023-10-16,10.91212896,11.04629448,10.8450462,11.00157264,282349473,1381506632.38,601398
2023-10-17,10.97921172,11.02393356,10.93448988,11.00157264,190043865,932409041.45,601398
2023-10-18,10.97921172,11.13573816,10.9568508,11.02393356,275779040,1360530617.71,601398
2023-10-19,10.97921172,11.00157264,10.75560252,10.80032436,363163394,1759426129.33,601398
2023-10-20,10.7332416,10.82268528,10.64379792,10.71088068,274782494,1317398880.87,601398
2023-10-23,10.68851976,10.8450462,10.66615884,10.77796344,268713543,1295265513.89,601398
2023-10-24,10.77796344,10.80032436,10.57671516,10.64379792,335548267,1596617823.69,601398
2023-10-25,10.66615884,10.71088068,10.53199332,10.53199332,348926020,1648499684.29,601398
2023-10-26,10.53199332,10.7332416,10.53199332,10.71088068,306531320,1460187892.6,601398
2023-10-27,10.7332416,10.80032436,10.621437,10.66615884,292963333,1401153451.74,601398
2023-10-30,10.621437,10.64379792,10.42018872,10.48727148,468611543,2199149845.28,601398
2023-10-31,10.48727148,10.59907608,10.44254964,10.57671516,241111606,1136787729.87,601398
2023-11-01,10.59907608,10.68851976,10.5096324,10.66615884,216678245,1029343589.46,601398
2023-11-02,10.68851976,10.77796344,10.66615884,10.68851976,213221716,1023208912.51,601398
2023-11-03,10.68851976,10.71088068,10.57671516,10.59907608,199554443,948809750.02,601398
2023-11-06,10.59907608,10.64379792,10.5096324,10.53199332,315553562,1487054517.15,601398
2023-11-07,10.53199332,10.621437,10.48727148,10.55435424,176268114,831535432.08,601398
2023-11-08,10.53199332,10.59907608,10.48727148,10.53199332,230797803,1088088167.82,601398
2023-11-09,10.5096324,10.71088068,10.5096324,10.68851976,277464405,1319361414.1,601398
2023-11-10,10.66615884,10.77796344,10.59907608,10.68851976,215701907,1030812615.62,601398
2023-11-13,10.68851976,10.68851976,10.55435424,10.64379792,178447223,845699968.03,601398
2023-11-14,10.621437,10.71088068,10.57671516,10.71088068,206539273,983406085.93,601398
2023-11-15,10.68851976,10.7332416,10.66615884,10.71088068,151014482,722371076.74,601398
2023-11-16,10.68851976,10.77796344,10.66615884,10.7332416,178304921,856430948.45,601398
2023-11-17,10.7332416,10.75560252,10.64379792,10.68851976,173374518,828856949.86,601398
