date,open,high,low,close,volume,amount,code,return,is_extreme
2020-04-28,1586.1615935,1599.1339188,1564.9341521,1594.4167096,77156417,1038718080.27,000001,0.001480385170434203,False
2020-04-29,1589.6995004,1662.816243,1586.1615935,1653.3818246,110872239,1541638203.48,000001,0.03631481099162602,False
2020-04-30,1653.3818246,1688.7608936,1636.8715924,1642.7681039,81954043,1155968238.13,000001,-0.006440093814729773,False
2020-05-06,1622.7199648,1638.0508947,1605.0304303,1623.8992671,100899802,1382727481.73,000001,-0.011552475051150745,False
2020-05-07,1622.7199648,1622.7199648,1603.851128,1614.4648487,66274923,904349531.99,000001,-0.005826673440206036,False
2020-05-08,1622.7199648,1653.3818246,1613.2855464,1645.1267085,93478170,1297924588.29,000001,0.01881386896701712,False
2020-05-11,1641.5888016,1666.3541499,1639.230197,1651.02322,61286229,859156594.22,000001,0.0035778213478841235,False
2020-05-12,1645.1267085,1656.9197315,1618.0027556,1626.2578717,55851114,772109502.04,000001,-0.015113637810048297,False
2020-05-13,1621.5406625,1625.0785694,1595.5960119,1607.3890349,64035879,871062043.61,000001,-0.011670446096769137,False
2020-05-14,1597.9546165,1602.6718257,1559.0376406,1568.472059,94467209,1259440848.24,000001,-0.024509210480733255,False
2020-05-15,1579.0857797,1583.8029889,1549.6032222,1560.2169429,75679447,1004313267.93,000001,-0.005277057100843669,False
2020-05-18,1556.679036,1573.1892682,1547.2446176,1556.679036,63720857,843479669.71,000001,-0.0022701485345391855,False
2020-05-19,1581.4443843,1586.1615935,1564.9341521,1575.5478728,60036864,801755671.01,000001,0.012048338516174574,False
2020-05-20,1577.9064774,1606.2097326,1564.9341521,1593.2374073,69085107,929928885.93,000001,0.011164983863607923,False
2020-05-21,1594.4167096,1600.3132211,1575.5478728,1580.265082,55231200,742797057.29,000001,-0.00817544501524193,False
2020-05-22,1572.0099659,1573.1892682,1523.6585716,1523.6585716,85623733,1119433491.01,000001,-0.036478208602409815,False
2020-05-25,1529.5550831,1530.7343854,1504.7897348,1528.3757808,41017078,528769352.5,000001,0.0030911925696728796,False
2020-05-26,1535.4515946,1541.3481061,1526.0171762,1537.8101992,39621240,515451849.4,000001,0.006153865574378286,False
2020-05-27,1538.9895015,1555.4997337,1528.3757808,1533.09299,48296294,630305864.09,000001,-0.003072199036970029,False
2020-05-28,1543.88927979,1581.07697806,1536.69166077,1567.88134319,96076031,1255226999.49,000001,0.022437988189944056,False
2020-05-29,1560.68372417,1564.28253368,1549.88729564,1559.484121,45780822,594502123.85,000001,-0.005370170174593862,False
2020-06-01,1571.4801527,1606.26864463,1569.08094636,1597.87142244,88296055,1173619006.66,000001,0.02431730765070643,False
2020-06-02,1594.27261293,1635.05912071,1593.07300976,1625.46229535,88345888,1194375822.06,000001,0.01711988221346669,False
2020-06-03,1636.25872388,1665.04919996,1619.4642795,1624.26269218,95680308,1308782294.7,000001,-0.000738279841580962,False
2020-06-04,1623.06308901,1636.25872388,1608.66785097,1627.86150169,58306633,788707630.29,000001,0.002213206362648883,False
2020-06-05,1631.4603112,1633.85951754,1611.06705731,1630.26070803,38302690,517232135.8,000001,0.0014727543162744601,False
2020-06-08,1641.05713656,1661.45039045,1629.06110486,1633.85951754,58597190,802115792.06,000001,0.0022050725583139755,False
2020-06-09,1636.25872388,1647.05515241,1623.06308901,1639.85753339,47430007,646895834.84,000001,0.0036643500144918025,False
2020-06-10,1644.65594607,1644.65594607,1607.4682478,1618.26467633,58047620,781995749.36,000001,-0.013254980516193752,False
2020-06-11,1605.06904146,1606.26864463,1559.484121,1569.08094636,134903982,1774199978.68,000001,-0.0308643241906118,False
2020-06-12,1547.4880893,1561.88332734,1543.88927979,1558.28451783,103055057,1331618728.51,000001,-0.0069045153465445985,False
2020-06-15,1541.49007345,1555.88531149,1535.4920576,1537.89126394,66031307,850767506.43,000001,-0.013173379189984152,False
2020-06-16,1547.4880893,1558.28451783,1542.68967662,1546.28848613,71805910,927043687.82,000001,0.005445365458571918,False
2020-06-17,1546.28848613,1549.88729564,1530.69364492,1541.49007345,71646824,918251153.19,000001,-0.0031080056098671954,False
2020-06-18,1530.69364492,1535.4920576,1510.30039103,1530.69364492,111964780,1419972017.43,000001,-0.0070285334245849575,False
2020-06-19,1527.09483541,1540.29047028,1512.69959737,1535.4920576,153952178,1954584919.95,000001,0.0031298930089275656,False
2020-06-22,1528.29443858,1530.69364492,1513.89920054,1516.29840688,131907979,1671023278.99,000001,-0.012578782206860185,False
2020-06-23,1517.49801005,1522.29642273,1501.90316884,1511.4999942,99080673,1248046646.72,000001,-0.0031695747612790672,False
2020-06-24,1516.29840688,1545.08888296,1511.4999942,1535.4920576,152322048,1946329095.31,000001,0.015748356968139112,False
2020-06-29,1549.88729564,1555.88531149,1524.69562907,1535.4920576,103848006,1330678288.83,000001,0.0,False
2020-06-30,1539.09086711,1545.08888296,1525.89523224,1535.4920576,93794022,1199181601.42,000001,0.0,False
2020-07-01,1534.29245443,1577.47816855,1528.29443858,1573.87935904,169739001,2202800843.97,000001,0.024692612590371633,False
2020-07-02,1569.08094636,1618.26467633,1555.88531149,1611.06705731,259050119,3433511084.46,000001,0.02335322701920327,False
2020-07-03,1627.86150169,1717.83173944,1626.66189852,1709.43451725,376833360,5280918011.4,000001,0.05926589617951318,False
2020-07-06,1751.4206282,1880.97777056,1750.22102503,1880.97777056,471146080,7168653356.25,000001,0.09562910820760222,False
2020-07-07,1955.3531671,1994.94007171,1803.00356451,1856.98570716,396442752,6267919683.04,000001,-0.012837146760680719,False
2020-07-08,1826.99562791,1919.365072,1826.99562791,1890.57459592,263133916,4095447757.17,000001,0.017926216268152113,False
2020-07-09,1878.57856422,1878.57856422,1836.59245327,1862.98372301,224399440,3469517329.73,000001,-0.014701447269137396,False
2020-07-10,1841.39086595,1856.98570716,1770.61427892,1782.61031062,215877326,3254272377.89,000001,-0.04410059787098256,False
2020-07-13,1763.4166599,1809.00158036,1739.4245965,1786.20912013,193716012,2871414844.76,000001,0.0020168074063043784,False
2020-07-14,1787.4087233,1822.19721523,1745.42261235,1761.01745356,195356627,2891773817.07,000001,-0.014203823509548153,False
2020-07-15,1773.01348526,1782.61031062,1707.03531091,1711.83372359,204256283,2947173149.72,000001,-0.028326591697624356,False
2020-07-16,1715.4325331,1745.42261235,1693.83967604,1697.43848555,193089129,2771496391.19,000001,-0.00844480739949849,False
2020-07-17,1699.83769189,1713.03332676,1673.44642215,1696.23888238,129134677,1821043927.51,000001,-0.0007069636208200056,False
2020-07-20,1707.03531091,1771.81388209,1691.4404697,1767.01546941,197963200,2872758056.19,000001,0.04087857000611215,False
2020-07-21,1761.01745356,1761.01745356,1727.4285648,1738.22499333,125286569,1815570300.6,000001,-0.016427474141947816,False
2020-07-22,1738.22499333,1757.41864405,1711.83372359,1728.62816797,131295159,1895447229.41,000001,-0.005536346321160251,False
2020-07-23,1708.23491408,1714.23292993,1656.65197777,1680.64404117,202752587,2838535210.75,000001,-0.028151049662515092,False
